"date","denver_n_reviews","hawaii_n_reviews","denver_n_reviews"
2009 Feb,2,0,0
2009 Mar,1,0,0
2009 Apr,1,0,0
2009 May,2,0,0
2009 Jun,4,0,0
2009 Jul,2,0,0
2009 Aug,2,0,0
2009 Sep,3,0,0
2009 Oct,4,0,0
2009 Nov,1,0,0
2009 Dec,1,0,0
2010 Jan,1,1,0
2010 Feb,0,1,0
2010 Mar,2,0,0
2010 Apr,4,1,0
2010 May,6,1,0
2010 Jun,5,2,0
2010 Jul,8,6,0
2010 Aug,15,3,0
2010 Sep,9,10,0
2010 Oct,8,6,0
2010 Nov,8,5,0
2010 Dec,1,15,0
2011 Jan,4,14,0
2011 Feb,3,12,0
2011 Mar,5,22,0
2011 Apr,11,15,0
2011 May,12,25,0
2011 Jun,11,21,0
2011 Jul,21,23,1
2011 Aug,19,30,1
2011 Sep,29,42,5
2011 Oct,16,49,3
2011 Nov,11,48,3
2011 Dec,15,54,4
2012 Jan,16,56,1
2012 Feb,13,70,1
2012 Mar,18,59,8
2012 Apr,19,73,9
2012 May,21,117,9
2012 Jun,27,76,17
2012 Jul,39,85,20
2012 Aug,43,101,14
2012 Sep,49,116,10
2012 Oct,38,124,12
2012 Nov,21,119,16
2012 Dec,16,161,22
2013 Jan,15,197,22
2013 Feb,20,218,20
2013 Mar,27,255,41
2013 Apr,33,171,36
2013 May,45,228,53
2013 Jun,63,196,40
2013 Jul,67,239,66
2013 Aug,63,286,61
2013 Sep,67,291,75
2013 Oct,70,290,132
2013 Nov,43,274,82
2013 Dec,34,370,71
2014 Jan,47,447,39
2014 Feb,39,406,50
2014 Mar,84,490,107
2014 Apr,67,407,131
2014 May,92,450,129
2014 Jun,85,407,149
2014 Jul,147,586,196
2014 Aug,172,684,246
2014 Sep,170,676,235
2014 Oct,194,735,268
2014 Nov,134,680,216
2014 Dec,85,817,171
2015 Jan,125,994,161
2015 Feb,109,893,158
2015 Mar,156,1034,246
2015 Apr,175,916,283
2015 May,253,1126,374
2015 Jun,292,1077,409
2015 Jul,351,1267,473
2015 Aug,368,1348,531
2015 Sep,375,1266,510
2015 Oct,357,1458,658
2015 Nov,315,1283,505
2015 Dec,250,1696,424
2016 Jan,314,1921,320
2016 Feb,325,1900,340
2016 Mar,403,1901,508
2016 Apr,442,1950,559
2016 May,663,2238,716
2016 Jun,764,2143,774
2016 Jul,818,2674,933
2016 Aug,899,2879,930
2016 Sep,960,2941,888
2016 Oct,882,2998,1320
2016 Nov,646,2718,974
2016 Dec,554,3193,839
2017 Jan,790,3805,752
2017 Feb,702,3339,730
2017 Mar,980,3912,1139
2017 Apr,1028,3813,1315
2017 May,1373,4286,1424
2017 Jun,1499,3806,1352
2017 Jul,1701,4773,1679
2017 Aug,1684,4776,1599
2017 Sep,1565,4599,1476
2017 Oct,1601,4726,2114
2017 Nov,1113,4418,1508
2017 Dec,1012,5546,1492
2018 Jan,1409,6539,1179
2018 Feb,1139,5965,1158
2018 Mar,1635,6716,1935
2018 Apr,1680,6488,2156
2018 May,1885,7839,2257
2018 Jun,2160,6611,2389
2018 Jul,2623,7611,2935
2018 Aug,2517,7337,2663
2018 Sep,2517,7316,2664
2018 Oct,2360,7770,3372
2018 Nov,1720,7254,2607
2018 Dec,1508,8188,2362
2019 Jan,1891,9593,1997
2019 Feb,1892,9122,1878
2019 Mar,2506,10152,3184
2019 Apr,2648,10165,3213
2019 May,3103,11469,3466
2019 Jun,3447,10648,3626
2019 Jul,3620,12188,4034
2019 Aug,3761,12325,3588
2019 Sep,3747,11546,4115
2019 Oct,3580,11978,4481
2019 Nov,2548,11077,3946
2019 Dec,2164,12606,3632
2020 Jan,2603,14164,2859
2020 Feb,2407,13120,2922
2020 Mar,2049,10338,2682
2020 Apr,393,532,254
2020 May,961,274,977
2020 Jun,1648,658,2715
2020 Jul,2641,2095,3935
2020 Aug,2929,1653,4147
2020 Sep,2817,973,3803
2020 Oct,2952,2254,4917
2020 Nov,2493,5603,4480
2020 Dec,2296,7679,3686
2021 Jan,2427,8306,3288
2021 Feb,2210,8624,2841
2021 Mar,2874,12678,3876
2021 Apr,3233,14027,4652
2021 May,4121,18124,5405
2021 Jun,4179,18594,5413
2021 Jul,4915,20467,5969
2021 Aug,5216,21552,5939
2021 Sep,4927,18113,5347
2021 Oct,4786,18196,7249
2021 Nov,3788,18340,5900
2021 Dec,3322,20551,5040
2022 Jan,3605,21470,3576
2022 Feb,3428,20334,3502
2022 Mar,4377,24077,5551
2022 Apr,4877,24225,5939
2022 May,5937,26697,6531
2022 Jun,6386,24413,6341
2022 Jul,6862,26556,6963
2022 Aug,6345,26475,5571
2022 Sep,6054,24658,5932
2022 Oct,6281,24657,8167
2022 Nov,4318,21656,5965
